Municipality,Population 2010,2017 (estimate)
Roseira ,9599,10512
Cajobi ,9768,10444
Vargem ,8801,10143
Rinópolis ,9935,10098
Uchoa ,9471,10047
Sarapuí ,9027,10034
Torrinha ,9330,9934
Ouroeste ,8405,9897
Manduri ,8992,9714
Porangaba ,8326,9565
Euclides da Cunha Paulista ,9585,9559
Nova Campina ,8515,9504
Palmeira d'Oeste ,9584,9496
Dumont ,8143,9468
Ariranha ,8547,9451
Igaratá ,8831,9443
Herculândia ,8696,9397
Salto Grande ,8787,9287
Terra Roxa ,8505,9227
Urânia ,8836,9148
Rafard ,8612,9054
Reginópolis ,7323,9042
Neves Paulista ,8772,8999
Cedral ,7972,8971
Paulo de Faria ,8589,8953
Dourado ,8609,8909
Bálsamo ,8160,8908
São José da Bela Vista ,8406,8885
Santa Lúcia ,8248,8758
Dobrada ,7939,8744
Iaras ,6376,8484
Estrela do Norte ,2658,8466
Guaraçaí ,8435,8466
Arealva ,7841,8452
Ouro Verde ,7800,8440
Cristais Paulista ,7588,8424
Pereiras ,7454,8410
Vista Alegre do Alto ,6886,8335
Santo Antônio do Aracanguá ,7626,8285
Clementina ,7065,8254
Irapuru ,7789,8248
Icém ,7462,8112
Águas da Prata ,7584,8104
Iepê ,7628,8103
Macaubal ,7663,8086
Saltinho ,7059,8019
Tapiraí ,8012,7973
Irapuã ,7275,7878
Monte Alegre do Sul ,7152,7871
Itobi ,7546,7853
Bilac ,7048,7837
Barra do Turvo ,7729,7781
Sud Mennucci ,7435,7733
Catiguá ,7127,7700
Ribeirão Grande ,7422,7697
Lindóia ,6712,7695
São Pedro do Turvo ,7198,7624
Guatapará ,6966,7546
Ibirarema ,6725,7540
Restinga ,6587,7384
Cosmorama ,7214,7374
Nuporanga ,6817,7341
Tarabai ,6607,7302
Barbosa ,6593,7251
Ipeúna ,6016,7177
Lavrinhas ,6590,7150
Paulicéia ,6339,7147
Jaborandi ,6592,6917
Santo Antônio da Alegria ,6304,6829
Santo Antônio do Pinhal ,6486,6800
Gália ,7011,6776
Natividade da Serra ,6678,6754
Nova Aliança ,5891,6733
Orindiúva ,5675,6731
Jaci ,5657,6728
Tuiuti ,5935,6689
Guarantã ,6404,6672
Quintana ,6004,6530
Anhembi ,5653,6484
Oriente ,6097,6473
Iacri ,6419,6434
Itirapuã ,5930,6405
Paraíso ,5898,6369
Arandu ,6123,6368
Jambeiro ,5349,6305
Pardinho ,5582,6259
Taiaçu ,5894,6255
Echaporã ,6318,6247
Silveiras ,5792,6228
Colômbia ,5994,6225
Taciba ,5714,6193
Sales ,5451,6144
Ubarana ,5289,6080
Pedra Bela ,5780,6078
Santo Antônio do Jardim ,5943,6029
Santa Maria da Serra ,5413,6021
Águas de Santa Bárbara ,5601,6009
Santa Albertina ,5723,5999
Américo de Campos ,5706,5967
Campina do Monte Alegre ,5567,5963
Poloni ,5395,5935
Coroados ,5238,5885
Piacatu ,5287,5846
Riversul ,6163,5792
Fernando Prestes ,5534,5782
Três Fronteiras ,5427,5767
Alambari ,4884,5754
Guaimbê ,5425,5737
Taquarivaí ,5151,5715
Caiuá ,5039,5695
Santa Ernestina ,5568,5662
Barra do Chapéu ,5244,5653
Luiziânia ,5030,5633
Marabá Paulista ,4812,5611
Taiúva ,5447,5603
Braúna ,5021,5557
Aramina ,5152,5552
Sabino ,5217,5549
Novais ,4592,5527
Avaí ,4959,5337
Mendonça ,4640,5302
Salmourão ,4818,5222
Balbinos ,3702,5188
Guzolândia ,4754,5179
Ipiguá ,4463,5178
Pratânia ,4599,5126
Álvaro de Carvalho ,4650,5119
Planalto ,4463,5067
Canitar ,4369,5025
Nipoã ,4274,4994
Canas ,4385,4975
Lagoinha ,4841,4943
Indiana ,4825,4931
Campos Novos Paulista ,4539,4900
Analândia ,4293,4845
Coronel Macedo ,5001,4840
Itapura ,4357,4802
Glicério ,4565,4800
Mirassolândia ,4295,4758
Narandiba ,4288,4746
Gavião Peixoto ,4419,4739
Ubirajara ,4427,4734
Júlio Mesquita ,4430,4733
Boracéia ,4268,4717
Espírito Santo do Turvo ,4244,4713
Santópolis do Aguapeí ,4277,4687
Gastão Vidigal ,4193,4683
Tejupá ,4809,4677
Motuca ,4290,4676
